Country,Code,Year,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,over 85,Conflict,Spending,Personnel,Police,Recession
Austria,AUT,1957,8.382815,19.950739,23.907846,22.504091,21.680878,28.843742,38.55891,38.714672,46.092606,39.48387,41.464203,42.048294,41.37492,47.61905,39.087948,0,1.6268458,0.33017513,,0
Austria,AUT,1958,9.245252,18.141153,24.460752,24.655245,22.378237,31.347963,36.81827,40.959625,42.241913,33.945187,38.856777,38.17734,41.30163,31.438936,65.01548,0,1.8123839,0.38643193,,0
Austria,AUT,1959,10.799865,17.064049,23.405231,26.142403,26.72148,28.410864,39.975895,46.703297,47.142857,42.329338,30.993042,36.06159,49.8155,40.935673,46.647232,0,1.7021112,0.4419732,,0
Austria,AUT,1960,10.474986,15.830035,23.062292,23.05041,22.415186,26.835287,36.241047,39.43218,34.734917,43.343655,41.370792,39.93546,46.52568,42.14123,32.967033,0,1.4581857,0.4965948,,0
Austria,AUT,1961,10.636241,16.269611,17.342453,24.52257,21.71707,25.959042,36.80571,39.635353,38.352272,35.613873,33.010296,34.967846,40.047817,41.573032,50.131927,0,1.3093376,0.5362687,,0
Austria,AUT,1962,9.433962,15.167548,20.582329,24.95583,21.82045,27.020327,35.92507,37.42455,36.08563,39.808918,35.09798,42.772278,48.723896,50.54945,34.146343,0,1.3520719,0.53295934,,0
Austria,AUT,1963,11.821279,17.790579,20.146059,21.396397,24.343777,25.618177,32.032616,36.7662,40.196884,34.20523,32.78221,34.090908,41.6429,44.27646,42.553192,0,1.5796678,1.0451505,,0
Austria,AUT,1964,10.509296,17.162277,18.396227,18.767378,23.20086,25.625,35.987263,44.90894,43.65733,40.265488,35.81344,43.930637,39.281708,42.32804,38.28829,0,1.8873003,0.76135105,,0
Austria,AUT,1965,8.815868,14.727273,15.529905,24.214817,28.720627,27.203928,38.642788,38.828632,43.406364,42.0427,35.965385,36.883705,45.733406,51.706306,34.707157,0,1.5072135,0.7564297,,0
Austria,AUT,1966,7.3151445,20.464384,19.726858,23.99802,27.96125,28.482971,29.269678,36.110455,44.221943,40.448452,42.789223,42.506413,40.443214,51.619434,37.894737,0,1.6244051,0.75116086,,0
Austria,AUT,1967,8.053151,15.959596,19.53472,19.483807,27.647715,26.099768,31.052765,36.478985,41.09589,40.55543,41.354355,45.389565,50.300713,40.553905,45.081966,0,1.6091664,0.8140008,,0
Austria,AUT,1968,10.763817,15.139281,18.262503,21.849594,23.896223,31.330473,31.789282,38.43844,40.425533,38.11212,40.172897,43.979057,35.733624,32.06997,50.1002,0,1.5426748,0.7423404,,0
Austria,AUT,1969,10.0776825,14.666938,16.775078,22.840828,29.528942,28.328611,36.974075,36.793694,36.20989,36.93814,39.566532,45.68701,45.38174,48.75717,46.783627,0,1.4992566,0.73914796,,0
Austria,AUT,1970,13.394726,19.592001,19.04413,21.362099,31.522793,31.1327,31.087002,47.310432,44.328255,40.17857,46.149986,45.288044,45.50209,40.874523,53.130928,0,1.38013,0.73657423,,0
Austria,AUT,1971,13.687916,16.641453,15.01131,22.257551,23.341524,32.747253,33.063007,37.71361,34.340992,35.1309,44.245586,46.48118,49.23077,52.1327,67.54221,0,1.246107,0.8,,0
Austria,AUT,1972,10.277884,17.774343,18.946491,20.860254,28.780611,27.635391,35.09145,34.26069,43.88371,44.3038,48.54369,34.909554,48.258705,46.38219,68.46847,0,1.2022867,0.79533404,,0
Austria,AUT,1973,8.548597,15.779093,18.200409,19.271948,21.606508,30.454546,34.16955,37.346325,42.262276,38.90785,34.680637,46.612804,46.466602,50.136738,60.869564,0,1.1849886,0.7909307,4.420328,0
Austria,AUT,1974,9.673952,18.11453,16.891891,24.982283,27.804182,33.627087,33.158813,40.277176,40.229885,39.02101,42.946316,41.590214,50.329258,57.880676,48.739494,0,1.2768825,0.7895776,,0
Austria,AUT,1975,11.324041,20.320438,20.531874,26.40076,27.485506,28.56457,36.299248,32.964695,41.430004,36.885246,44.955044,47.12991,55.35224,43.40278,69.65174,0,1.4512783,0.6597176,4.5169997,1
Austria,AUT,1976,11.011351,18.507809,21.158978,20.45408,20.984507,31.730293,37.153088,35.607037,34.138973,36.435123,38.644917,46.50465,47.597866,46.4135,54.00982,0,1.3651968,0.5286809,4.5430455,0
Austria,AUT,1977,13.651316,24.732996,19.724243,24.213575,25.465954,31.432192,33.265446,39.100044,30.04292,36.928486,39.314518,49.685722,55.627426,50.0,63.694267,0,1.3459518,0.48890063,4.595594,0
Austria,AUT,1978,16.367138,25.091576,20.328382,25.21863,26.592897,35.732517,36.24192,37.53887,37.198067,34.505642,42.26778,35.27653,54.66779,51.710423,38.69969,0,1.4292127,0.5289606,4.5966544,0
Austria,AUT,1979,11.606023,28.688524,23.287941,21.156559,28.166487,33.759342,43.426674,36.26126,33.016735,36.541245,42.531387,42.33751,46.185566,59.45946,45.045044,0,1.4338458,0.5298715,4.593916,0
Austria,AUT,1980,12.985005,23.517206,25.575447,22.196032,24.68427,34.30308,39.69615,39.242527,37.472282,34.900284,41.099545,51.38105,46.209972,56.011948,56.358383,0,1.4202461,0.5298715,4.5974884,0
Austria,AUT,1981,14.536645,26.061302,22.653101,23.118074,32.34391,36.484898,37.72171,45.974384,33.348156,36.44501,44.836563,47.88649,55.51118,53.99568,49.715908,0,1.3800517,0.5284714,,0
Austria,AUT,1982,13.846369,26.503769,28.305506,28.12598,30.603195,37.939426,41.44908,44.402817,32.635006,36.275524,43.04472,39.09837,53.922035,59.567924,54.809536,0,1.4129968,0.5279831,4.591827,1
Austria,AUT,1983,11.854105,24.82296,22.464705,23.461636,34.269554,35.697693,38.66757,47.359863,35.53275,32.935303,40.325684,53.429268,52.97301,60.507862,51.591396,0,1.3911759,0.66076386,,0
Austria,AUT,1984,12.67094,27.211258,23.158016,24.492624,32.607212,33.036964,41.17081,37.00631,41.85881,28.206182,37.05327,45.505848,56.173153,67.504684,62.133068,0,1.4141583,0.5283318,4.5847697,0
Austria,AUT,1985,13.285846,26.260386,26.997381,25.564703,32.239384,41.848106,33.568386,42.19662,37.137436,34.942078,40.93631,51.00121,52.47385,57.73857,44.78768,0,1.5126235,0.5278438,,0
Austria,AUT,1986,14.662684,25.596241,31.314999,31.399792,31.192482,41.143627,33.815487,41.448803,37.033585,30.503016,38.544018,52.592896,54.438263,58.010128,57.7881,0,1.5087585,0.5139694,4.6534677,0
Austria,AUT,1987,11.454518,25.314383,23.942013,30.042435,28.080248,32.921673,31.486622,41.85411,34.043087,34.910484,39.376183,56.030834,62.872105,73.591255,55.944977,0,1.4166778,0.9212951,,0
Austria,AUT,1988,12.556481,19.26629,23.171633,25.816914,24.41668,31.705507,31.915203,32.77969,33.88357,34.26099,32.59861,42.403786,51.628773,66.24529,48.11011,0,1.2991811,0.7222587,,0
Austria,AUT,1989,13.712474,21.242174,20.814943,25.553602,24.300562,27.066652,31.708443,32.658802,33.49552,36.941998,38.553112,50.47122,49.97993,59.788944,68.2313,0,1.2341549,0.6267137,,0
Austria,AUT,1990,10.506654,19.727451,19.050545,22.29008,21.968796,29.274471,31.63525,32.958458,31.680494,32.328396,36.747723,43.687977,55.4603,64.33388,63.822998,0,1.1956602,0.55634624,4.630834,0
Austria,AUT,1991,10.447306,21.244019,19.072554,18.287842,26.319675,28.88704,26.813583,26.53072,28.579899,34.89766,34.69233,39.852863,54.46922,67.5347,55.93571,0,1.1542171,0.56316394,,1
Austria,AUT,1992,11.172144,19.4081,18.377613,19.22997,26.262121,21.327082,30.470901,32.23714,34.83704,31.396774,36.596046,30.978716,47.474453,61.68201,59.120186,0,1.0992141,0.6570634,,0
Austria,AUT,1993,10.586312,17.27925,19.997873,20.897434,22.09637,22.09585,27.947533,26.143694,27.26051,32.672535,30.28178,35.71869,49.173306,65.354454,65.54832,0,1.1155846,0.6507321,,0
Austria,AUT,1994,9.940637,21.625769,17.609943,20.485182,23.837582,25.439363,29.648592,30.775888,30.007463,33.478672,31.187155,35.749634,47.214622,62.493206,57.004536,0,1.0944531,0.5603985,4.7139063,0
Austria,AUT,1995,10.270261,19.378498,18.609995,24.029541,24.71404,26.367653,27.240751,29.258156,28.565176,30.089174,32.853207,34.414646,47.65974,68.140434,59.160397,0,1.073232,0.5592146,,0
Austria,AUT,1996,9.989078,14.157288,16.166243,21.064924,24.32944,24.940369,29.745464,32.28213,24.370516,35.128345,34.26817,40.957535,44.218548,71.6915,68.48273,0,1.049683,0.55845124,,0
Austria,AUT,1997,9.607522,19.817757,15.970614,20.796139,24.597069,20.31945,24.801828,23.806639,24.565887,24.915302,32.397408,34.19872,34.135372,53.48845,60.261772,0,1.0464339,0.5946482,,0
Austria,AUT,1998,10.077809,15.53345,16.709915,15.509656,18.08867,24.098717,24.158337,30.111668,25.284885,27.23218,30.05559,34.714638,33.950935,53.88294,58.848553,0,1.0180728,0.7371007,,0
Austria,AUT,1999,11.396295,14.589588,15.993892,15.09766,20.25861,22.104671,23.45262,28.040512,23.6897,27.68646,32.138657,34.16798,36.222748,52.334435,61.473427,0,0.9802462,0.5992418,,0
Austria,AUT,2000,12.364786,15.54892,15.065211,14.497422,20.611326,23.816875,19.502605,25.59285,31.007689,29.117405,29.143791,34.709324,38.416546,45.475216,63.61235,0,0.9803186,0.48715138,,0
Austria,AUT,2001,12.617096,12.198636,13.205887,16.792486,17.132719,21.15436,26.15727,21.844374,26.163565,25.374659,26.777628,34.885323,35.923016,42.78935,52.589687,0,0.90824,0.43516102,4.1103067,0
Austria,AUT,2002,9.571289,14.326266,14.593522,17.234243,18.751516,23.42469,24.684721,25.814945,19.321268,19.31553,34.571377,40.91779,37.722275,41.117264,64.13747,0,0.8835279,0.43252596,4.0380015,0
Austria,AUT,2003,11.423634,12.913582,12.321124,13.902605,15.950359,21.647543,22.837477,24.90139,21.304024,20.859325,28.18049,35.84073,34.031933,42.789684,63.627903,0,0.9136403,0.4298698,,0
Austria,AUT,2004,11.345563,14.920977,14.356937,12.126347,15.883393,18.28602,17.91161,22.19201,24.45486,21.925322,26.311123,34.895157,33.90847,43.76225,59.05862,0,0.8934804,0.45160502,4.3175616,0
Austria,AUT,2005,9.219667,10.661082,11.352071,13.179042,15.960062,18.030731,21.66577,22.664698,22.94176,24.540611,26.08678,32.122726,32.94539,35.12373,58.708416,0,0.85014254,0.4854958,4.295037,0
Austria,AUT,2006,8.117905,10.110722,8.6416645,13.409911,16.133883,18.228651,20.831776,19.49098,19.988527,20.271032,22.917622,23.182262,38.372574,36.698578,44.335762,0,0.7858132,0.4832669,4.219755,0
Austria,AUT,2007,8.238159,12.886177,11.251188,11.652338,12.805544,16.375546,18.652863,17.719042,22.006687,23.365622,22.396807,23.133326,32.013466,36.45162,51.681564,0,0.90045714,0.48128986,4.2093353,0
Austria,AUT,2008,5.7916136,9.2454195,8.99505,10.232615,13.627094,15.285588,19.562693,22.321947,18.548073,17.197138,23.74159,26.094725,36.60176,44.535046,44.082256,0,0.8707051,0.4795013,4.1993046,0
